text,label
Buongiorno  sono Luigi Saetta  vorrei portare un reclamo: nella mia strada la spazzatura non viene raccolta  grazie,0
Salve   sono utente5  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio4  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Giovanni,0
Buongiorno  sono utente8 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Luigi,1
Oggetto: Richiesta Informazioni su Orari e Luoghi di Raccolta Rifiuti  Gentili Responsabili del Servizio di Igiene Urbana   Mi chiamo Giorgio Bianchi e abito in Via Lagrange  15  Torino. Desidero avere informazioni dettagliate  sugli orari e i punti di raccolta dei rifiuti nella mia area. Inoltre  vorrei sapere se ci sono  particolari disposizioni per il riciclaggio.  Ringrazio per l'attenzione e attendo un cortese riscontro.  Cordiali saluti   Giorgio Bianchi Via Lagrange  15 Torino giorgiobianchi@email.com +39 0123 456789,1
Oggetto: Informazioni su Procedure per Rilascio Carta d'Identità  Egregi Responsabili dell'Ufficio Anagrafe   Mi chiamo Anna Ferrari e risiedo in Strada della Consolata  50  Torino. Vorrei richiedere dettagli sulle  procedure attuali per il rilascio o il rinnovo della carta d'identità  compresi i tempi di attesa e la  documentazione necessaria.  Grazie per l'assistenza.  Saluti   Anna Ferrari Strada della Consolata  50 Torino annaferrari@email.com +39 0123 112233,1
Buongiorno  sono utente10 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Antonio,1
Buongiorno  sono UTENTE ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  NOME,1
Buongiorno sono utente5  volevo chiedere un appuntamento con l'assessore assessore2 se possibile per la prossima settimana  grazie  Luigi,1
Buongiorno sono utente2  volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana  grazie  Luigi,1
Buongiorno sono utente6  volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana  grazie  Luigi,1
Buongiorno sono utente6  volevo chiedere un appuntamento con l'assessore assessore5 se possibile per la prossima settimana  grazie  Luigi,1
Buongiorno sono utente5  volevo chiedere un appuntamento con l'assessore assessore33 se possibile per la prossima settimana  grazie  Giovanni,1
Oggetto: Richiesta Informazioni su Servizi Bibliotecari Comunali  Gentilissimo Personale della Biblioteca Civica   Sono Marco Verdi  residente in Piazza Statuto  10  Torino. Desidererei avere informazioni sui servizi  offerti dalla biblioteca  in particolare sull'accesso alle risorse digitali e agli eventi culturali.  Cordiali saluti   Marco Verdi Piazza Statuto  10 Torino marcoverdi@email.com +39 0123 654321,1
Buongiorno sono utente10  volevo chiedere alcune informazioni relative al servizio5 e dove devo recarmi per poter sbrigare le pratiche relative  grazie  Giovanni,1
Oggetto: Incontro per Discussione su Iniziative Culturali  Egregio Assessore Giovanni Rossi   Mi presento  sono Maria Conti  rappresentante della comunità artistica di Torino. Vorrei richiedere un  incontro per parlare delle possibili iniziative culturali da promuovere in città.  Ringraziando anticipatamente per la disponibilità  resto in attesa di una vostra risposta.  Distinti saluti   Maria Conti Corso Regina Margherita  55 Torino mariaconti@email.com +39 0123 987654,1
Buongiorno sono utente6  volevo chiedere un appuntamento con l'assessore assessore5 se possibile per la prossima settimana  grazie  Giovanni,1
Oggetto: Informazioni su Iscrizione Asili Nido Comunali  Spett.le Ufficio Istruzione   Sono Laura Rossi  residente in Corso Francia  88  Torino. Vorrei ricevere informazioni riguardanti  l'iscrizione agli asili nido comunali  i criteri di ammissione e le tariffe applicate.  Grazie per la disponibilità.  Distinti saluti   Laura Rossi Corso Francia  88 Torino laurarossi@email.com +39 0123 987654,1
Oggetto: Problema Grave di Pulizia in Strada della Consolata  A chi di competenza   Abito in Strada della Consolata  78  e vorrei attirare la vostra attenzione sulla pessima condizione di  pulizia della nostra strada. È urgente un intervento per risolvere questo problema.  In attesa di una vostra risposta   Anna Ferrari Strada della Consolata  78 Torino annaferrari@email.com,0
Buongiorno sono UTENTE  volevo chiedere alcune informazioni relative al SERVIZIO e dove devo recarmi per poter sbrigare le pratiche relative  grazie  NOME,1
Buongiorno sono utente6  volevo chiedere un appuntamento con l'assessore assessore2 se possibile per la prossima settimana  grazie  Matteo,1
Buongiorno sono utente2  volevo chiedere un appuntamento con l'assessore assessore2 se possibile per la prossima settimana  grazie  Matteo,1
Salve   sono utente2  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio1  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Matteo,0
Buongiorno sono utente2  volevo chiedere alcune informazioni relative al servizio3 e dove devo recarmi per poter sbrigare le pratiche relative  grazie  Luigi,1
Salve   sono utente2  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio5  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Matteo,0
Buongiorno  sono utente9 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Antonio,1
Salve   sono utente3  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio3  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Matteo,0
Buongiorno  sono utente4 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Antonio,1
Oggetto: Richiesta di Appuntamento con l'Assessore Martina Bianchi  Gentile Assessore Martina Bianchi   Mi chiamo Luca Ferrero e sono un cittadino di Torino residente in Via Po  23. Scrivo per richiedere un  appuntamento al fine di discutere le problematiche relative al traffico e alla mobilità sostenibile nella  nostra zona.  Sperando in una vostra positiva risposta  porgo distinti saluti.  Cordiali saluti   Luca Ferrero Via Po  23 Torino lucaferrero@email.com +39 0123 456789,1
Oggetto: Urgente: Condizioni Igieniche Precarie in Corso Vittorio Emanuele II  Gentili Responsabili   Scrivo dal Corso Vittorio Emanuele II  120  per segnalare la mancata pulizia regolare della nostra  strada. La situazione attuale è insostenibile e richiede un intervento immediato per garantire un  ambiente pulito e sicuro per tutti i residenti.  Spero in una vostra rapida risposta e azione.  Distinti saluti   Laura Bianchi Corso Vittorio Emanuele II  120 Torino laurabianchi@email.com,0
Buongiorno sono utente10  volevo chiedere alcune informazioni relative al servizio1 e dove devo recarmi per poter sbrigare le pratiche relative  grazie  Antonio,1
Salve   sono UTENTE  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio SERVIZIO  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  NOME,0
volevo reclamare: la spazzatura nella mia strada non viene raccolta  grazie  cordiali saluti  Adriano Panatta,0
Buongiorno  sono utente6 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Matteo,1
Buongiorno  sono Luigi Saetta  vorrei fare un reclamo: nella mia strada la spazzatura non viene raccolta  grazie,0
Buongiorno sono Utente1  volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana  grazie  Matteo,1
Buongiorno   sono Alberto Lupo e vorrei effettuare un reclamo relativo alla tassa dei rifiuti.  Io credo che la vostra cartella esattoriale sia stata inviata a me erroneamente. Potete dirmi quale  numero di telefono posso chiamare per chiarimenti?  Cordiali saluti  Alberto,0
Buongiorno sono UTENTE  volevo chiedere un appuntamento con l'assessore ASSESSORE se possibile per la prossima settimana  grazie  NOME,1
Buongiorno sono utente4  volevo chiedere un appuntamento con l'assessore assessore2 se possibile per la prossima settimana  grazie  Antonio,1
Oggetto: Sollecito di Appuntamento per Sviluppo Imprenditoriale  Spett.le Assessore Claudia Verdi   Sono Paolo Bianchi  imprenditore nel settore tecnologico. Desidererei fissare un appuntamento per  discutere di incentivi e opportunità per start-up tecnologiche in città.  In attesa di un Vostro riscontro  invio i miei più cordiali saluti.  Cordialmente   Paolo Bianchi Via Mazzini  101 Torino paolobianchi@email.com +39 0123 654321,1
Buongiorno sono utente2  volevo chiedere un appuntamento con l'assessore assessore5 se possibile per la prossima settimana  grazie  Antonio,1
Buongiorno sono utente3  volevo chiedere un appuntamento con l'assessore assessore33 se possibile per la prossima settimana  grazie  Matteo,1
Salve   sono utente5  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio2  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Luigi,0
Salve   sono utente4  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio1  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Luigi,0
Salve   sono utente4  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio2  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Luigi,0
"Oggetto: Richiesta Incontro per Progetto ""Verde Urbano""  Gentilissima Assessore Alessandra Neri   Mi chiamo Sara Moretti e sono la coordinatrice del progetto ""Verde Urbano"". Vorrei proporre un incontro  per discutere del nostro progetto volto a incrementare le aree verdi in città e di come possa allinearsi  con le iniziative del Comune.  La ringrazio per l'attenzione e attendo un Suo cortese riscontro.  Distinti saluti   Sara Moretti Piazza Castello  7 Torino saramoretti@email.com +39 0123 112233",1
Salve   sono utente6  volevo scrivervi per reclamare relativamente allo scarso funzionamento  del servizio servizio3  che a mio avviso non soddisfa le esigenze di noi cittadini.  Spero che la mia mail riceva adeguata attenzione  cordiali saluti  Luigi,0
Buongiorno  sono utente9 ed abito in via XXXX  volevo segnalare che il semaforo all'angolo della via non è più funzionante  cordiali saluti  Giovanni,1
Buongiorno sono utente7  volevo chiedere alcune informazioni relative al servizio2 e dove devo recarmi per poter sbrigare le pratiche relative  grazie  Matteo,1
