text,label
Oggetto: Segnalazione di Malfunzionamenti nell'Illuminazione Pubblica in Via San Donato Gentili Responsabili del Servizio Illuminazione Mi chiamo Fabio Bianchi e abito in Via San Donato 40 Torino. Scrivo per segnalare un problema persistente relativo all'illuminazione pubblica nella mia zona. Da diverse notti diversi lampioni lungo la strada sono spenti creando situazioni di pericolo e insicurezza per i residenti. Confido in un pronto intervento per risolvere il problema. Cordiali saluti Fabio Bianchi Via San Donato 40 Torino fabio.bianchi@email.com +39 011 1234567,0
Buongiorno sono utente10 volevo chiedere alcune informazioni relative al servizio5 e dove devo recarmi per poter sbrigare le pratiche relative grazie Giovanni,1
"Oggetto: Richiesta Appuntamento per Discussione su Temi di Mobilità Urbana Gentile Assessore Mi chiamo Marco Rossi e rappresento il gruppo di cittadini ""Mobilità Sostenibile Torino"" di Corso Giulio Cesare 45. Vorremmo incontrarvi per discutere su possibili miglioramenti della mobilità urbana. Distinti saluti Marco Rossi Corso Giulio Cesare 45 Torino marco.rossi@mst.org +39 011 9988776",1
Oggetto: Reclamo per Rumori Eccessivi Durante la Notte in Piazza Statuto Spettabili Mi chiamo Marco Verdi e vivo in Piazza Statuto 10. Desidero reclamare per i continui rumori eccessivi provenienti dai locali notturni durante le ore notturne che disturbano il riposo dei residenti. Cordiali saluti Marco Verdi Piazza Statuto 10 Torino marco.verdi@email.com +39 011 9988776,1
Mittente: MariaRossi@gmail.com Oggetto: Apprezzamento per la Qualità dei Servizi Buongiorno Mi chiamo Maria Rossi e vorrei esprimere la mia enorme soddisfazione per la qualità delle prestazioni erogate dal Comune di Torino. I servizi offerti sono sempre efficienti accurati e tempestivi un vero esempio di eccellenza pubblica. Vi ringrazio per il vostro impegno e dedizione costanti. Cordiali saluti Maria Rossi.,2
Oggetto: Incontro per Discussione su Iniziative Culturali Egregio Assessore Giovanni Rossi Mi presento sono Maria Conti rappresentante della comunità artistica di Torino. Vorrei richiedere un incontro per parlare delle possibili iniziative culturali da promuovere in città. Ringraziando anticipatamente per la disponibilità resto in attesa di una vostra risposta. Distinti saluti Maria Conti Corso Regina Margherita 55 Torino mariaconti@email.com +39 0123 987654,1
Buongiorno sono utente6 ed abito in via XXXX volevo segnalare che il semaforo all'angolo della via non è più funzionante cordiali saluti Matteo,1
Oggetto: Apprezzamento per il Supporto alle Imprese Locali All'attenzione del Comune di Milano Voglio esprimere il mio sincero apprezzamento per il sostegno fornito alle imprese locali. Queste politiche stanno aiutando moltissimo la comunità imprenditoriale milanese. Con gratitudine [Il Tuo Nome],2
Oggetto: Lodevole Qualità dei Servizi Gentili membri del Comune di Torino Mi chiamo Laura Bianchi e vivo in città dal 2015. Volevo esprimerle i miei complimenti per la straordinaria qualità dei servizi offerti che rendono la vita in città molto più comoda. Continuate così! Cordiali saluti Laura Bianchi,2
Oggetto: Problema Grave di Pulizia in Strada della Consolata A chi di competenza Abito in Strada della Consolata 78 e vorrei attirare la vostra attenzione sulla pessima condizione di pulizia della nostra strada. È urgente un intervento per risolvere questo problema. In attesa di una vostra risposta Anna Ferrari Strada della Consolata 78 Torino annaferrari@email.com,0
Oggetto: Richiesta di Appuntamento con l'Assessore al Traffico e alla Mobilità Urbana Gentile Assessore Mi chiamo Luca Bianchi e sono un residente della zona di Santa Rita in Via Piave 24 Torino. Scrivo per richiedere un appuntamento al fine di discutere le problematiche relative al traffico e alla mobilità nella mia zona in particolare riguardo la necessità di incrementare le piste ciclabili. Rimango in attesa di un Vostro cortese riscontro per definire una data e un orario per l'incontro. Cordiali saluti Luca Bianchi Via Piave 24 Torino luca.bianchi@email.com +39 011 2345678,1
Buongiorno sono UTENTE volevo chiedere un appuntamento con l'assessore ASSESSORE se possibile per la prossima settimana grazie NOME,1
Oggetto: Ringraziamento e Complimenti per i Servizi di Qualità Ciao Sono Laura Rossi residente in via Balbis 10. Scrivo questa email per esprimere la mia ammirazione e gratitudine per la qualità straordinaria dei servizi che offri nel nostro amato Comune di Torino. Continuate così! Cordiali saluti Laura Rossi,2
Oggetto: Reclamo per Mancata Pulizia Stradale in Via Garibaldi Gentili Responsabili del Servizio di Pulizia del Comune di Torino Mi rivolgo a voi in qualità di residente in Via Garibaldi 45 per esprimere il mio disappunto e preoccupazione riguardo la mancata pulizia della nostra strada che sta creando disagi significativi a me e agli altri residenti. Da diverse settimane abbiamo notato un evidente deterioramento delle condizioni igienico-sanitarie della strada dovuto all'assenza di interventi di pulizia. Tale situazione ha portato all'accumulo di rifiuti fogliame e detriti vari che oltre a essere un brutto colpo per l'estetica del quartiere rappresenta un potenziale rischio per la salute pubblica. Chiedo gentilmente che vengano prese immediate misure per risolvere questa situazione. Cordiali saluti Marco Rossi Via Garibaldi 45 Torino marcorossi@email.com,0
Oggetto: Complimenti per la Qualità dei Servizi Gentili rappresentanti del Comune di Torino Mi chiamo Luigi Bianchi residente in via Verdi 24 e volevo esprimere il mio più sincero apprezzamento per l'ottima qualità dei servizi offerti dalla vostra amministrazione. Continuate così l'efficienza e la professionalità dimostrate sono un vero esempio per tutti i cittadini. Distinti saluti Luigi Bianchi.,2
Buongiorno sono utente3 volevo chiedere un appuntamento con l'assessore assessore33 se possibile per la prossima settimana grazie Matteo,1
Salve sono utente2 volevo scrivervi per reclamare relativamente allo scarso funzionamento del servizio servizio5 che a mio avviso non soddisfa le esigenze di noi cittadini. Spero che la mia mail riceva adeguata attenzione cordiali saluti Matteo,0
Salve sono utente2 volevo scrivervi per reclamare relativamente allo scarso funzionamento del servizio servizio1 che a mio avviso non soddisfa le esigenze di noi cittadini. Spero che la mia mail riceva adeguata attenzione cordiali saluti Matteo,0
Oggetto: Ringraziamenti e apprezzamenti per la qualità dei servizi Cari responsabili del Comune di Torino Mi chiamo Luca Bianchi e scrivo per esprimere il mio apprezzamento per l'efficienza e la qualità dei vostri servizi. Come cittadino sono sinceramente grato per il vostro impegno e la vostra professionalità rivolti al miglioramento continuo della qualità della vita cittadina. Continuate così siete un esempio per tutte le altre amministrazioni. Cordiali saluti Luca Bianchi,2
Oggetto: Trasporto Pubblico Inaccettabile in Zona Parella Gentili responsabili Il servizio di trasporto pubblico in zona Parella è un vero disastro. Autobus sempre in ritardo e sovraffollati. È inammissibile! Chiedo una revisione urgente del servizio. Distinti saluti [Nome],0
Oggetto: Ringraziamenti per la Pulizia delle Strade Gentili responsabili Voglio esprimere il mio apprezzamento per la pulizia impeccabile delle strade di Milano. È un aspetto che fa davvero la differenza nella vita quotidiana. Saluti affettuosi [Il Tuo Nome],2
Oggetto: Urgente: Condizioni Igieniche Precarie in Corso Vittorio Emanuele II Gentili Responsabili Scrivo dal Corso Vittorio Emanuele II 120 per segnalare la mancata pulizia regolare della nostra strada. La situazione attuale è insostenibile e richiede un intervento immediato per garantire un ambiente pulito e sicuro per tutti i residenti. Spero in una vostra rapida risposta e azione. Distinti saluti Laura Bianchi Corso Vittorio Emanuele II 120 Torino laurabianchi@email.com,0
Buongiorno sono Utente1 volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana grazie Matteo,1
Buongiorno sono utente10 ed abito in via XXXX volevo segnalare che il semaforo all'angolo della via non è più funzionante cordiali saluti Antonio,1
Oggetto: Rottura Continua delle Tubature in Corso Francia Egregio Comune di Torino Le continue rotture delle tubature in Corso Francia stanno causando enormi disagi. Interruzioni frequenti dell'acqua e danni alle strade. Chiedo un'azione immediata per risolvere questi problemi. Cordiali saluti Bruno S.,0
Oggetto: Appuntamento per Collaborazione su Progetti Culturali Egregio Assessore alla Cultura Sono Sara Galli curatrice della Galleria d'Arte Moderna di Torino in Via Roma 100. Chiedo un incontro per esplorare opportunità di collaborazione su progetti culturali nella nostra città. Distinti saluti Sara Galli Via Roma 100 Torino sara.galli@galleriaarte.to.it +39 011 2233445,1
Oggetto: Degrado Urbano in Piazza Castello Gentili Responsabili Mi chiamo Marco Rossi e vivo in Piazza Castello 10. Vorrei segnalare un crescente degrado urbano in questa zona centrale. Cordiali saluti Marco Rossi Piazza Castello 10 Torino marco.rossi@email.com +39 011 9988776,1
Oggetto: Grazie per l'Impegno nel Miglioramento Urbano Gentili responsabili Desidero ringraziarvi per il continuo impegno nel miglioramento dell'ambiente urbano di Milano. La città sta diventando sempre più accogliente e vivibile. Cordiali saluti [Il Tuo Nome],2
Oggetto: Mancata Raccolta Rifiuti in Via Baltea Egregi Mi chiamo Paolo Neri e risiedo in Via Baltea 56. La raccolta rifiuti non viene effettuata regolarmente. Cordiali saluti Paolo Neri Via Baltea 56 Torino paolo.neri@email.com +39 011 1122334,0
"Oggetto: Incontro con l'Assessore all'Ambiente per Progetti di Sostenibilità Egregio Assessore Sono Luca Bianchi presidente dell'associazione ""Torino Verde"" con sede in Via Milano 123. Chiedo un appuntamento per presentare alcuni progetti di sostenibilità ambientale e coinvolgimento comunitario. Cordiali saluti Luca Bianchi Via Milano 123 Torino luca.bianchi@torinoverde.org +39 011 8765432",1
Buongiorno sono utente6 volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana grazie Luigi,1
Buongiorno sono utente2 volevo chiedere un appuntamento con l'assessore assessore1 se possibile per la prossima settimana grazie Luigi,1
Buongiorno sono utente6 volevo chiedere un appuntamento con l'assessore assessore5 se possibile per la prossima settimana grazie Luigi,1
Oggetto: Feedback Positivo sui Servizi del Comune di Torino Mittente: Mario Rossi Buongiorno Mi chiamo Mario Rossi e desidero esprimere i miei più sinceri complimenti per l'eccezionale qualità dei servizi offerti dal vostro Comune. Dalla raccolta rifiuti all'assistenza nell'anagrafe ho sempre riscontrato efficienza professionalità e cortesia da parte del vostro personale. Vi incoraggio a continuare su questa strada rappresentate un modello di eccellenza nel panorama dei comuni italiani. Distinti Saluti Mario Rossi.,2
Oggetto: Mancanza di Manutenzione del Parco Dora Egregio Comune di Torino Il degrado e la mancanza di manutenzione del Parco Dora sono inaccettabili. Questo spazio verde è ridotto a una discarica. Intervenite subito! Cordiali saluti [Nome],0
Buongiorno sono Luigi Saetta vorrei fare un reclamo: nella mia strada la spazzatura non viene raccolta grazie,0
